TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	0.99996	50.88	0.883	rgb(227, 48, 50)	1.9994	None
Tbx21	Tbkbp1	0.99996	50.91	0.911	rgb(227, 43, 45)	2	2,2
Hif1a	Ero1l	0.99993	50.85	0.852	rgb(226, 54, 56)	1.9988	None
Sp2	Brd3	0.99993	50.9	0.899	rgb(227, 45, 47)	1.9998	None
Irf7	Rtp4	0.99991	50.89	0.886	rgb(227, 48, 50)	1.9996	2,2
Gm14420	Gm2011	0.99989	50.88	0.878	rgb(227, 49, 51)	1.9994	2,2
Hif1a	1190002N15Rik	0.99981	50.84	0.838	rgb(226, 57, 59)	1.9986	None
Hif1a	Bnip3	0.99981	50.84	0.844	rgb(226, 56, 57)	1.9986	None
Hif1a	Sap30	0.99981	50.84	0.836	rgb(226, 57, 59)	1.9986	None
Irf7	Cmpk2	0.99981	50.87	0.867	rgb(227, 51, 53)	1.9992	2,2
Irf7	Rsad2	0.9998	50.86	0.855	rgb(226, 54, 55)	1.999	None
Hif1a	Pgm2	0.99974	50.82	0.816	rgb(226, 61, 63)	1.9982	None
Hif1a	Slc2a1	0.99974	50.82	0.817	rgb(226, 61, 63)	1.9982	2,2
Irf1	Nlrc5	0.99974	50.85	0.85	rgb(226, 55, 56)	1.9988	None
Hif1a	2310022B05Rik	0.99966	50.79	0.785	rgb(226, 67, 69)	1.9976	2,2
Hif1a	Jmjd6	0.99966	50.79	0.786	rgb(226, 67, 68)	1.9976	None
Irf1	Tbx21	0.99966	50.84	0.836	rgb(226, 57, 59)	1.9986	2,2
Srebf1	Fads2	0.99966	50.84	0.839	rgb(226, 57, 58)	1.9986	2,2
Srebf2	Dhcr24	0.99965	50.83	0.832	rgb(226, 58, 60)	1.9984	2,2
E2f4	Mxd3	0.99959	50.77	0.771	rgb(225, 70, 71)	1.9972	None
Hif1a	P4hb	0.99959	50.77	0.769	rgb(225, 70, 72)	1.9972	2,2
Rela	Sh3kbp1	0.99959	50.77	0.768	rgb(225, 70, 72)	1.9972	None
Ahctf1	Zcchc2	0.99952	50.82	0.82	rgb(226, 60, 62)	1.9982	None
Irf7	Xaf1	0.99952	50.82	0.821	rgb(226, 60, 62)	1.9982	None
Mxi1	Cxcr4	0.99952	50.82	0.821	rgb(226, 60, 62)	1.9982	None
Srf	Adarb1	0.99952	50.82	0.823	rgb(226, 60, 61)	1.9982	None
Irf9	Irf7	0.99948	50.8	0.799	rgb(226, 64, 66)	1.9978	2,2
Rorc	Lingo4	0.99948	50.8	0.798	rgb(226, 64, 66)	1.9978	2,2
Hif1a	Arrb1	0.99937	50.76	0.759	rgb(225, 72, 74)	1.997	None
Hif1a	Narf	0.99937	50.76	0.76	rgb(225, 72, 73)	1.997	None
Hif1a	Smtnl2	0.99937	50.76	0.758	rgb(225, 72, 74)	1.997	2,2
Nr4a1	Nr4a3	0.99937	50.79	0.788	rgb(226, 66, 68)	1.9976	2,2
Zfp385a	Eng	0.99937	50.76	0.762	rgb(225, 71, 73)	1.997	2,2
Zfp385a	Zfp365	0.99937	50.76	0.763	rgb(225, 71, 73)	1.997	2,2
Sp2	Zcchc2	0.99935	50.78	0.777	rgb(226, 69, 70)	1.9974	None
Arid3a	Ahnak	0.99931	50.77	0.771	rgb(225, 70, 71)	1.9972	None
Irf1	Erap1	0.99931	50.77	0.771	rgb(225, 70, 71)	1.9972	None
Nr1d1	Inpp5b	0.99924	50.75	0.749	rgb(225, 74, 75)	1.9968	2,2
Sall4	Foxp3	0.99924	50.75	0.753	rgb(225, 73, 75)	1.9968	None
Zfp429	Megf8	-0.99924	50.75	-7.5E-01	rgb( 55,118,245)	1.9968	2,2
Zfp536	Tekt2	0.99924	50.75	0.753	rgb(225, 73, 75)	1.9968	2,2
Hif1a	Aldoa	0.99916	50.74	0.744	rgb(225, 75, 76)	1.9966	2,2
Hif1a	Fam71f2	0.99916	50.74	0.742	rgb(225, 75, 77)	1.9966	None
Zfp536	Itsn1	0.99916	50.74	0.739	rgb(225, 76, 77)	1.9966	2,2
Zfp536	Lpin3	0.99916	50.76	0.756	rgb(225, 73, 74)	1.997	2,2
Epas1	Gata3	0.99905	50.76	0.758	rgb(225, 72, 74)	1.997	2,2
