TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Epas1	4930412O13Rik	0.21237	46.1	0.097	rgb(218,199,199)	1.9036	2,2
Gata3	4930412O13Rik	0.76948	50.28	0.276	rgb(220,164,165)	1.9874	2,2
Epas1	Adam10	0.80319	50.31	0.308	rgb(220,158,159)	1.988	2,2
Gata3	Adam10	0.0062046	43.27	0.268	rgb(220,166,166)	1.8469	2,2
Zfp280b	Adam10	0.51155	49.13	0.132	rgb(218,192,192)	1.9643	2,2
Epas1	Adam19	-0.87479	50.38	-3.8E-01	rgb(136,167,231)	1.9894	None
Gata3	Adam19	-0.58198	49.28	-2.8E-01	rgb(157,180,228)	1.9673	None
Epas1	Adamtsl3	0.98811	50.59	0.594	rgb(224,104,105)	1.9936	2,2
Ybx2	Adamtsl3	0.33579	47.25	0.253	rgb(220,169,169)	1.9267	2,2
Zfp280b	Adamtsl3	0.21349	46.18	0.182	rgb(219,182,183)	1.9052	2,2
Epas1	Akr1c12	0.72044	50.23	0.23	rgb(220,173,173)	1.9864	2,2
Ybx2	Akr1c12	0.4163	48.16	0.233	rgb(220,172,173)	1.9449	2,2
Zfp280b	Akr1c12	0.39409	48.12	0.122	rgb(218,194,194)	1.9441	2,2
Epas1	Ap1s3	0.63307	49.44	0.437	rgb(222,133,134)	1.9705	2,2
Zfp280b	Ap1s3	0.92715	50.44	0.436	rgb(222,134,135)	1.9906	2,2
Epas1	Arnt2	0.3226	47.18	0.178	rgb(219,183,183)	1.9253	2,2
Gata3	Arnt2	0.80818	50.3	0.297	rgb(220,160,161)	1.9878	2,2
Ybx2	Atp11a	0.86486	50.35	0.345	rgb(221,151,152)	1.9888	2,2
Zfp280b	Atp11a	0.92346	50.41	0.406	rgb(221,140,140)	1.99	2,2
Gata3	B930041F14Rik	-0.29428	47.03	-2.5E-02	rgb(212,214,218)	1.9223	None
Ybx2	B930041F14Rik	0.4163	48.16	0.156	rgb(219,187,187)	1.9449	None
Gata3	Bcl6b	0.66518	50.14	0.143	rgb(219,190,190)	1.9846	None
Zfp280b	Bcl6b	0.55616	49.23	0.226	rgb(219,174,174)	1.9663	2,2
Epas1	Bnipl	0.44697	48.24	0.24	rgb(220,171,172)	1.9465	2,2
Ybx2	Bnipl	0.71599	50.21	0.209	rgb(219,177,177)	1.986	2,2
Zfp280b	Bnipl	0.81973	50.31	0.315	rgb(220,157,158)	1.988	2,2
Ybx2	Btk	0.77473	50.27	0.272	rgb(220,165,166)	1.9872	2,2
Zfp280b	Btk	0.81973	50.31	0.315	rgb(220,157,158)	1.988	2,2
Ybx2	C1ql3	0.35746	47.31	0.313	rgb(220,157,158)	1.9279	2,2
Zfp280b	C1ql3	0.46531	48.31	0.313	rgb(220,157,158)	1.9479	2,2
Epas1	Cacna1c	0.74841	50.26	0.255	rgb(220,168,169)	1.987	None
Zfp280b	Cacna1c	0.32789	47.23	0.225	rgb(219,174,174)	1.9263	2,2
Gata3	Cd5l	-0.57921	49.27	-2.7E-01	rgb(158,181,227)	1.9671	2,2
Trps1	Cd5l	0.81973	50.31	0.313	rgb(220,157,158)	1.988	2,2
Epas1	Chn2	0.88983	50.39	0.393	rgb(221,142,143)	1.9896	2,2
Ybx2	Chn2	0.445	48.26	0.255	rgb(220,168,169)	1.9469	2,2
Epas1	Cmtm4	0.9158	50.4	0.403	rgb(221,140,141)	1.9898	None
Zfp280b	Cmtm4	0.49093	48.43	0.426	rgb(222,136,137)	1.9503	2,2
Epas1	Cnnm1	0.9788	50.55	0.547	rgb(223,112,114)	1.9928	2,2
Trps1	Cnnm1	-0.50682	49.11	-1.1E-01	rgb(194,203,221)	1.9639	2,2
Ybx2	Cnnm1	0.74317	50.24	0.236	rgb(220,172,172)	1.9866	2,2
Zfp280b	Cnnm1	0.40762	48.17	0.172	rgb(219,184,184)	1.9451	2,2
Gata3	Csf1	0.57677	49.27	0.265	rgb(220,166,167)	1.9671	2,2
Trps1	Csf1	-0.15998	45.29	-2.9E-01	rgb(155,179,228)	1.8874	2,2
Gata3	Ctla4	-0.90766	50.39	-3.9E-01	rgb(132,165,232)	1.9896	2,2
Trps1	Ctla4	0.92016	50.43	0.43	rgb(222,135,136)	1.9904	2,2
Ybx2	Ctla4	-0.25305	46.3	-3.0E-01	rgb(151,177,229)	1.9076	2,2
Gata3	Cxcr6	0.87479	50.36	0.359	rgb(221,148,149)	1.989	2,2
Zfp280b	Cxcr6	-0.9341	50.45	-4.5E-01	rgb(120,158,234)	1.9908	2,2
Gata3	Cyr61	-0.90766	50.39	-3.9E-01	rgb(133,166,232)	1.9896	2,2
Trps1	Cyr61	0.098099	44.32	0.324	rgb(221,155,156)	1.868	2,2
Epas1	D430041D05Rik	0.67753	50.17	0.172	rgb(219,184,184)	1.9852	2,2
Gata3	D430041D05Rik	0.32609	47.19	0.191	rgb(219,181,181)	1.9255	2,2
Ybx2	D430041D05Rik	0.65469	50.09	0.086	rgb(218,201,201)	1.9836	2,2
Zfp280b	D430041D05Rik	0.47693	48.35	0.353	rgb(221,150,150)	1.9487	2,2
Gata3	D630039A03Rik	0.9038	50.41	0.411	rgb(222,139,139)	1.99	2,2
Trps1	D630039A03Rik	-0.74317	50.24	-2.4E-01	rgb(165,186,226)	1.9866	2,2
