TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nr1d1	1700025G04Rik	0.9158	50.4	0.405	rgb(221,140,140)	1.9898	None
Rorc	1700025G04Rik	0.73354	50.23	0.231	rgb(220,173,173)	1.9864	None
Nr1d1	2310007L24Rik	0.96907	50.49	0.49	rgb(222,123,124)	1.9916	2,2
Nr1d2	2310007L24Rik	0.21036	46.17	0.172	rgb(219,184,185)	1.905	2,2
Rora	2310007L24Rik	0.69311	50.18	0.184	rgb(219,182,182)	1.9854	2,2
Rorc	2310007L24Rik	0.25733	46.25	0.253	rgb(220,169,169)	1.9066	2,2
Vax2	2310007L24Rik	0.97097	50.52	0.522	rgb(223,117,118)	1.9922	2,2
Vdr	2310007L24Rik	0.84818	50.35	0.347	rgb(221,151,151)	1.9888	2,2
Gli3	9430020K01Rik	0.95327	50.48	0.477	rgb(222,126,127)	1.9914	2,2
Vax2	9430020K01Rik	0.84818	50.35	0.349	rgb(221,150,151)	1.9888	2,2
Rorc	Abat	0.74317	50.24	0.373	rgb(221,146,146)	1.9866	2,2
Vax2	Abat	0.65849	50.12	0.12	rgb(218,194,194)	1.9842	2,2
Gli3	Abhd15	0.70766	50.2	0.204	rgb(219,178,179)	1.9858	2,2
Nr1d2	Abhd15	0.93072	50.42	0.421	rgb(222,137,137)	1.9902	2,2
Vax2	Abhd15	0.81418	50.32	0.316	rgb(220,157,157)	1.9882	2,2
Nr1d1	Abi3	0.73808	50.25	0.247	rgb(220,170,170)	1.9868	2,2
Nr1d2	Abi3	0.71599	50.21	0.214	rgb(219,176,177)	1.986	2,2
Gli3	Acox3	0.53039	49.18	0.184	rgb(219,182,182)	1.9653	2,2
Rorc	Acox3	0.57179	49.26	0.255	rgb(220,168,169)	1.9669	2,2
Nr1d2	Adam12	0.77473	50.27	0.274	rgb(220,165,165)	1.9872	2,2
Rorc	Adam12	0.0074157	44.08	0.08	rgb(218,202,202)	1.8632	2,2
Vax2	Adam12	0.92715	50.44	0.436	rgb(222,134,135)	1.9906	2,2
Vdr	Adam12	0.75875	50.27	0.274	rgb(220,165,165)	1.9872	2,2
Gli3	Adam19	0.22173	46.14	0.145	rgb(219,189,190)	1.9044	None
Nr1d2	Adam19	0.95012	50.45	0.45	rgb(222,131,132)	1.9908	None
Nr1d1	Adam8	0.97582	50.51	0.512	rgb(223,119,120)	1.992	2,2
Rora	Adam8	0.73354	50.23	0.23	rgb(220,173,173)	1.9864	None
Vax2	Adam8	0.79083	50.3	0.301	rgb(220,159,160)	1.9878	2,2
Vdr	Adam8	0.455	48.26	0.258	rgb(220,168,168)	1.9469	None
Gli3	Adck1	-0.70389	50.21	-2.1E-01	rgb(171,189,225)	1.986	None
Vdr	Adck1	-0.033147	44.18	-1.8E-01	rgb(179,194,224)	1.8652	None
Gli3	Adcy4	0.71166	50.22	0.218	rgb(219,175,176)	1.9862	2,2
Rora	Adcy4	0.078983	44.34	0.344	rgb(221,151,152)	1.8684	2,2
Rorc	Adcy4	0.84261	50.33	0.329	rgb(221,154,155)	1.9884	2,2
Vax2	Adcy4	0.9788	50.55	0.549	rgb(223,112,113)	1.9928	2,2
Rora	Ahr	0.80319	50.31	0.305	rgb(220,159,159)	1.988	2,2
Vdr	Ahr	0.32994	47.2	0.205	rgb(219,178,178)	1.9257	2,2
Nr1d1	Aloxe3	0.5746	49.26	0.265	rgb(220,166,167)	1.9669	None
Rora	Aloxe3	0.5346	49.19	0.193	rgb(219,180,181)	1.9655	None
Nr1d1	Ap1s3	-0.10283	45.11	-1.1E-01	rgb(194,203,221)	1.8838	None
Rora	Ap1s3	-0.40358	48.16	-1.6E-01	rgb(181,195,223)	1.9449	None
Nr1d1	Aqp3	0.89963	50.4	0.396	rgb(221,141,142)	1.9898	2,2
Nr1d2	Aqp3	0.39149	48.11	0.114	rgb(218,195,195)	1.9439	2,2
Vdr	Aqp3	0.33579	47.25	0.248	rgb(220,170,170)	1.9267	2,2
Gli3	Art2a-ps	0.23598	46.19	0.193	rgb(219,180,181)	1.9054	2,2
Nr1d1	Art2a-ps	0.36259	47.29	0.286	rgb(220,162,163)	1.9275	None
Nr1d2	Art2a-ps	0.44315	48.23	0.231	rgb(220,173,173)	1.9463	None
Rora	Art2a-ps	0.032215	44.06	0.161	rgb(219,186,187)	1.8628	None
Rorc	Art2a-ps	0.79685	50.29	0.291	rgb(220,161,162)	1.9876	None
Vdr	Art2a-ps	0.69311	50.18	0.215	rgb(219,176,176)	1.9854	None
Nr1d1	Avpi1	0.37233	47.39	0.391	rgb(221,142,143)	1.9295	2,2
Vax2	Avpi1	0.99374	50.63	0.633	rgb(224, 96, 97)	1.9944	None
Nr1d1	B3galt2	0.95605	50.46	0.464	rgb(222,128,129)	1.991	2,2
Rora	B3galt2	0.22432	46.21	0.208	rgb(219,177,178)	1.9058	2,2
Rorc	B3galt2	0.030091	44.17	0.165	rgb(219,185,186)	1.865	2,2
Vax2	B3galt2	0.94125	50.46	0.463	rgb(222,129,129)	1.991	2,2
Rora	Bsn	0.90766	50.39	0.391	rgb(221,142,143)	1.9896	None
Vdr	Bsn	0.38679	48.08	0.079	rgb(218,202,202)	1.9433	None
Gli3	C2cd2l	-0.50607	49.03	-2.7E-02	rgb(211,213,218)	1.9623	None
Vdr	C2cd2l	0.1193	45.08	0.084	rgb(218,201,201)	1.8832	2,2
Rora	Camkk1	0.95605	50.46	0.457	rgb(222,130,131)	1.991	2,2
Vdr	Camkk1	0.73808	50.25	0.247	rgb(220,170,170)	1.9868	None
Nr1d2	Capg	0.41798	48.2	0.203	rgb(219,178,179)	1.9457	2,2
Vax2	Capg	0.90766	50.39	0.385	rgb(221,143,144)	1.9896	None
Vdr	Capg	0.67078	50.14	0.139	rgb(219,190,191)	1.9846	None
Nr1d1	Car5b	0.75361	50.25	0.254	rgb(220,168,169)	1.9868	None
Nr1d2	Car5b	0.75361	50.25	0.254	rgb(220,169,169)	1.9868	None
Gli3	Ccdc63	0.89475	50.38	0.375	rgb(221,145,146)	1.9894	None
Rorc	Ccdc63	0.99687	50.68	0.677	rgb(224, 88, 89)	1.9954	None
Vax2	Ccdc63	0.44315	48.23	0.226	rgb(219,174,174)	1.9463	2,2
Vdr	Ccdc63	0.30302	47.1	0.097	rgb(218,199,199)	1.9237	None
Nr1d2	Ccl20	0.95605	50.46	0.46	rgb(222,129,130)	1.991	2,2
Vax2	Ccl20	0.9341	50.45	0.448	rgb(222,131,132)	1.9908	2,2
Rora	Ccr7	0.80818	50.3	0.307	rgb(220,158,159)	1.9878	None
Vdr	Ccr7	-0.13302	45.14	-1.4E-01	rgb(188,199,222)	1.8844	2,2
Gli3	Cd5l	0.96907	50.49	0.488	rgb(222,124,125)	1.9916	2,2
Rorc	Cd5l	0.66898	50.15	0.148	rgb(219,189,189)	1.9848	2,2
Rora	Cdk18	0.095603	45.07	0.069	rgb(218,204,204)	1.883	2,2
Vdr	Cdk18	0.33399	47.21	0.207	rgb(219,178,178)	1.9259	2,2
Gli3	Chl1	-0.23935	46.2	-2.0E-01	rgb(173,190,225)	1.9056	None
Rora	Chl1	0.78502	50.28	0.281	rgb(220,163,164)	1.9874	2,2
Rora	Chm	0.39717	48.07	0.074	rgb(218,203,203)	1.9431	None
Rorc	Chm	0.73354	50.23	0.233	rgb(220,173,173)	1.9864	None
Nr1d1	Cldn4	0.070635	44.21	0.212	rgb(219,176,177)	1.8658	2,2
Vdr	Cldn4	0.83719	50.34	0.342	rgb(221,152,152)	1.9886	2,2
Nr1d1	Crispld2	0.78502	50.28	0.278	rgb(220,164,164)	1.9874	2,2
Rorc	Crispld2	0.84818	50.35	0.351	rgb(221,150,151)	1.9888	2,2
Rora	Cxcl3	0.24114	46.26	0.262	rgb(220,167,167)	1.9068	2,2
Vax2	Cxcl3	0.98181	50.56	0.557	rgb(223,111,112)	1.993	2,2
Gli3	Cyp1b1	0.21576	46.12	0.125	rgb(218,193,193)	1.904	2,2
Rorc	Cyp1b1	0.68996	50.19	0.193	rgb(219,180,181)	1.9856	2,2
Gli3	Cysltr1	0.035718	44.08	0.083	rgb(218,201,201)	1.8632	2,2
Nr1d1	Cysltr1	0.68612	50.17	0.168	rgb(219,185,185)	1.9852	None
Nr1d2	Cysltr1	0.94429	50.44	0.438	rgb(222,133,134)	1.9906	None
Rora	Cysltr1	0.91215	50.42	0.425	rgb(222,136,137)	1.9902	None
Vax2	Cysltr1	0.98811	50.59	0.587	rgb(223,105,106)	1.9936	2,2
Rora	Cysltr2	0.94429	50.44	0.444	rgb(222,132,133)	1.9906	2,2
Vax2	Cysltr2	0.92016	50.43	0.43	rgb(222,135,136)	1.9904	2,2
Rora	Cyth4	0.65469	50.09	0.11	rgb(218,196,196)	1.9836	None
Rorc	Cyth4	0.73808	50.25	0.251	rgb(220,169,169)	1.9868	None
Nr1d1	Dab2	0.90766	50.39	0.394	rgb(221,142,143)	1.9896	None
Rorc	Dab2	0.93795	50.43	0.431	rgb(222,135,136)	1.9904	2,2
Vax2	Dab2	0.99374	50.63	0.634	rgb(224, 96, 97)	1.9944	2,2
Nr1d1	Dgkg	0.78502	50.28	0.282	rgb(220,163,164)	1.9874	None
Nr1d2	Dgkg	0.14038	45.23	0.233	rgb(220,172,173)	1.8862	None
Nr1d1	Dlg2	0.60762	49.33	0.329	rgb(221,154,155)	1.9683	None
Vax2	Dlg2	0.455	48.26	0.261	rgb(220,167,168)	1.9469	2,2
Rora	Dnajc6	0.73354	50.23	0.226	rgb(219,174,174)	1.9864	None
Vax2	Dnajc6	0.086287	44.26	0.256	rgb(220,168,169)	1.8668	2,2
Nr1d1	Dock10	-0.33779	47.22	-2.2E-01	rgb(170,188,225)	1.9261	None
Rora	Dock10	0.20052	46.14	0.142	rgb(219,190,190)	1.9044	None
Nr1d1	Dpy19l3	0.65046	50.06	0.063	rgb(218,205,205)	1.983	None
Nr1d2	Dpy19l3	0.67078	50.14	0.14	rgb(219,190,191)	1.9846	None
Rora	Dpy19l3	0.43261	48.23	0.228	rgb(220,173,174)	1.9463	None
Rorc	Dpy19l3	0.96534	50.48	0.481	rgb(222,125,126)	1.9914	None
Gli3	Dzip1	-0.89963	50.4	-4.0E-01	rgb(131,165,232)	1.9898	None
Vdr	Dzip1	0.88983	50.39	0.395	rgb(221,142,142)	1.9896	2,2
Nr1d1	Efemp2	0.65003	50.05	0.047	rgb(218,208,208)	1.9828	None
Rora	Efemp2	0.20596	46.06	0.059	rgb(218,206,206)	1.9028	None
Rora	Efna5	0.53039	49.18	0.179	rgb(219,183,183)	1.9653	None
Vdr	Efna5	0.27123	46.3	0.304	rgb(220,159,160)	1.9076	2,2
Gli3	Ehd4	0.43018	48.2	0.202	rgb(219,178,179)	1.9457	2,2
Vdr	Ehd4	0.21846	46.13	0.135	rgb(218,191,192)	1.9042	2,2
Gli3	Eno3	-0.29719	47.06	-5.6E-02	rgb(205,210,219)	1.9229	None
Rorc	Eno3	-0.40114	48.15	-1.5E-01	rgb(185,198,223)	1.9447	2,2
Gli3	Ermp1	-0.91215	50.42	-4.2E-01	rgb(126,162,233)	1.9902	2,2
Rorc	Ermp1	-0.69311	50.18	-1.8E-01	rgb(179,194,224)	1.9854	2,2
Gli3	Fbxl21	0.83719	50.34	0.341	rgb(221,152,153)	1.9886	None
Vdr	Fbxl21	0.96335	50.5	0.496	rgb(222,122,123)	1.9918	None
Nr1d2	Fbxo30	0.55616	49.23	0.245	rgb(220,170,171)	1.9663	None
Vdr	Fbxo30	0.95327	50.48	0.478	rgb(222,126,127)	1.9914	2,2
Nr1d2	Fes	0.65249	50.08	0.079	rgb(218,202,202)	1.9834	2,2
Vax2	Fes	0.91215	50.42	0.422	rgb(222,136,137)	1.9902	2,2
Vdr	Fes	0.66169	50.13	0.134	rgb(218,191,192)	1.9844	2,2
Vax2	Fgf16	0.5414	49.19	0.187	rgb(219,181,182)	1.9655	2,2
Vdr	Fgf16	0.72044	50.23	0.226	rgb(219,174,174)	1.9864	2,2
Gli3	Fndc3c1	0.44315	48.23	0.228	rgb(220,173,174)	1.9463	2,2
Rorc	Fndc3c1	0.56083	49.24	0.238	rgb(220,172,172)	1.9665	2,2
Vax2	Fndc3c1	0.87479	50.38	0.377	rgb(221,145,146)	1.9894	2,2
Gli3	Foxf2	0.83719	50.34	0.339	rgb(221,152,153)	1.9886	2,2
Vax2	Foxf2	0.18625	46.06	0.056	rgb(218,206,206)	1.9028	2,2
Nr1d1	Furin	0.24462	46.27	0.275	rgb(220,164,165)	1.907	2,2
Nr1d2	Furin	0.65249	50.08	0.081	rgb(218,201,202)	1.9834	2,2
Vax2	Furin	0.88983	50.39	0.391	rgb(221,142,143)	1.9896	2,2
Vdr	Furin	0.9341	50.45	0.449	rgb(222,131,132)	1.9908	None
Nr1d2	Fut7	0.62284	49.37	0.368	rgb(221,147,148)	1.9691	2,2
Vax2	Fut7	0.8701	50.37	0.372	rgb(221,146,147)	1.9892	2,2
Vdr	Fut7	0.55871	49.23	0.226	rgb(219,174,174)	1.9663	2,2
Nr1d1	Galnt12	0.98446	50.57	0.569	rgb(223,108,110)	1.9932	None
Rora	Galnt12	0.93072	50.42	0.418	rgb(222,137,138)	1.9902	None
Vax2	Galnt12	0.94746	50.47	0.468	rgb(222,128,129)	1.9912	2,2
Nr1d1	Gap43	0.35746	47.31	0.313	rgb(220,157,158)	1.9279	2,2
Vax2	Gap43	0.92016	50.43	0.433	rgb(222,134,135)	1.9904	2,2
Rora	Gcnt2	0.85362	50.34	0.336	rgb(221,153,153)	1.9886	2,2
